eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
56849100112	ar	2008	1.1700154617E10	5			
56949089697	ar	2009	17811.0	500	1-2	92	97
57049117898	ar	2008	12165.0	156	2	171	178
57049117909	ar	2008	28673.0	34	12	1070	1086
57049120145	ar	2008	15537.0	18	23	1849	1854
57049127600	ar	2008	26098.0	19	12	1601	1613
57049159822	re	2008	9.500153997E9	48	4	585	595
57049177539	ar	2008	17511.0	18	12	1036	1043
57049181219	ar	2008	24900.0	36	4	813	843
57149105723	ar	2008	29380.0	33	6	260	267
57149111292	ar	2008	4.00015181E9	4	11		
57149124225	ar	2008	18378.0	9	4	615	624
57149130529	cp	2008	25674.0	5258 LNCS		249	260
57349092105	cp	2008	89124.0			453	454
57349111195	re	2008	4.800152317E9	22	4	381	402
57349118029	ar	2009	26146.0	25	1	69	82
57349123463	cp	2008	89124.0			351	360
57349126189	ar	2008	1.1600154161E10	3	4	271	277
57349141921	ar	2008	22039.0	43	4	486	501
57349145787	ar	2009	1.00147332E8	24	1	69	84
57349173555	ar	2008	20013.0	16	4	563	600
57549108516	ar	2009	21363.0	20	3	171	179
57649143481	cp	2008	145117.0	1		452	459
57649155176	ar	2009	17499.0	16	1	70	86
57649195279	cp	2008	145117.0	1		445	451
57649200478	cp	2008	145117.0	1		460	466
57749113497	cp	2008	145117.0	1		437	444
57849090099	cp	2008	4.900153216E9			310	314
57849114375	cp	2008	145205.0			664	671
57849117012	ar	2008	29259.0	57	6	426	435
57849119257	cp	2008	145205.0			656	663
57849125076	cp	2008	4.900153216E9			328	333
57849142893	cp	2008	145205.0			527	534
57849145185	ar	2008	12169.0	371		117	129
57849148638	cp	2008	1.4000156233E10			78	86
57849162368	ar	2009	12020.0	22	1	117	127
57849164480	ar	2009	20327.0	46	1	121	129
57949084591	ar	2009	24021.0	67	1	25	30
58049088256	ar	2008	50120.0	31	2	298	303
58049110763	ar	2009	28216.0	24	1	3	23
58049156422	cp	2008	1.4000156277E10			56	61
58049159495	cp	2008	1.4000156295E10			89	98
58049219897	ar	2008	50120.0	31	3	417	423
58149121179	ar	2008	4.800154004E9	17	2	104	108
58149129394	ar	2009	12807.0	46	3	336	340
58149137197	ar	2008	28725.0	33	5	302	306
58149144599	ar	2008	23053.0	71	12	1977	1982
58149148149	ar	2009	15391.0	35	1	44	62
58149156429	ar	2009	17472.0	33	3	464	472
58149174121	ar	2008	14622.0	47	2	185	213
58149188886	re	2009	19512.0	12	1	51	63
58149216315	ar	2008	15484.0	30	4	279	288
58149263362	ar	2008	110040.0	19	44		
58149289604	ar	2009	29427.0	40	2	157	165
58149293485	ar	2008	28809.0	57	2	242	244
58149296143	ar	2009	25896.0	74	1	158	162
58149299542	ar	2009	24069.0	11	1	91	95
58149313819	ar	2009	20569.0	225	C	221	237
